ICPSR,name,party,state,recipient.cfscore,recipient.cfscore.dyn,contributor.cfscore,irt.cfscore,composite.score,bioname
40902,"risch, james e",200,ID,0.927,0.622,1.086,1.007,2.646792802,"RISCH, James"
40906,"shaheen, jeanne",100,NH,-0.905,-0.942,-1.136,-1.813,-2.474195298,"SHAHEEN, Jeanne"
40908,"merkley, jeffrey alan",100,OR,-1.045,-1.108,-1.026,-1.991,-3.232175882,"MERKLEY, Jeff"
40909,"warner, mark robert",100,VA,-0.58,-0.637,-0.724,,-1.815136896,"WARNER, Mark"
40910,"bennet, michael f",100,CO,-0.89,-0.987,-0.86,,-2.381405432,"BENNET, Michael F."
40915,"manchin iii, joe",100,WV,0.062,-0.355,-0.372,,-0.550050958,"MANCHIN, Joe, III"
40916,"coons, christopher a",100,DE,-0.611,-0.767,-0.702,,-2.074685525,"COONS, Christopher A."
41101,"blumenthal, richard",100,CT,-0.807,-0.956,-0.774,,-2.900412648,"BLUMENTHAL, Richard"
41102,"rubio, marco",200,FL,1.345,1.139,0.797,,3.092995674,"RUBIO, Marco"
41104,"paul, rand",200,KY,1.349,0.851,1.646,,4.31965409,"PAUL, Rand"
41107,"hoeven, john",200,ND,1.086,1.001,1.26,,2.377666209,"HOEVEN, John"
41110,"lee, mike",200,UT,1.391,1.133,1.121,,4.410223644,"LEE, Mike"
41111,"johnson, ronald harold",200,WI,1.508,1.349,1.449,,3.589638921,"JOHNSON, Ron"
41112,"schatz, brian",100,HI,-0.65,-0.639,-0.651,,-2.888070653,"SCHATZ, Brian Emanuel"
41300,"king, angus stanley jr",100,ME,-0.726,-0.775,-0.524,,-2.075266823,"KING, Angus Stanley, Jr."
41301,"warren, elizabeth",100,MA,-1.141,-1.146,-1.021,,-4.379720137,"WARREN, Elizabeth"
41302,"fischer, debra s",200,NE,1.113,0.911,1.181,,2.601038893,"FISCHER, Debra (Deb)"
41304,"cruz, rafael edward ted",200,TX,1.52,1.446,1.476,,4.040145245,"CRUZ, Rafael Edward (Ted)"
41305,"kaine, timothy michael",100,VA,-0.872,-0.852,-0.782,,-2.363202704,"KAINE, Timothy Michael (Tim)"
41308,"booker, cory a",100,NJ,-0.894,-0.865,-0.696,,-3.471566637,"BOOKER, Cory Anthony"
41500,"sullivan, dan",200,AK,1.324,0.722,1.105,,2.965562427,"SULLIVAN, Daniel Scott"
41501,"perdue, david",200,GA,1.432,1.23,1.368,,3.310798463,"PERDUE, David Alfred, Jr."
41502,"ernst, joni k",200,IA,1.416,1.247,1.317,,3.020774833,"ERNST, Joni"
41503,"sasse, benjamin e",200,NE,0.966,0.706,0.377,,3.074772997,"SASSE, Benjamin Eric"
41504,"tillis, thom r",200,NC,1.225,0.871,1.716,,2.721106949,"TILLIS, Thomas Roland (Thom)"
41505,"rounds, mike",200,SD,1.118,1.091,1.231,,2.236458483,"ROUNDS, Marion Michael (Mike)"
41700,"masto, catherine cortez",100,NV,-1.034,-0.98,-0.905,,-3.08810466,"CORTEZ MASTO, Catherine Marie"
41701,"harris, kamala d",100,CA,-1.029,-1.073,-0.878,,-4.079718082,"HARRIS, Kamala Devi"
41703,"kennedy, john neely",200,LA,1.393,0.981,1.405,,3.224866807,"KENNEDY, John Neely"
41705,"jones, doug",100,AL,-0.953,-0.966,-0.711,,-2.152713472,"JONES, Gordon Douglas (Doug)"
41706,"smith, tina flint",100,MN,-0.966,-0.929,-0.935,,-3.166912812,"SMITH, Tina"
41707,"hyde smith, cindy",200,MS,1.351,1.234,1.431,,2.674024434,"HYDE-SMITH, Cindy"
41900,"braun, mike",200,IN,1.322,1.331,1.319,,4.116887342,"BRAUN, Michael"
41901,"hawley, joshua david",200,MO,1.471,1.34,,,3.972954735,"HAWLEY, Joshua David"
41902,"romney, mitt willard",200,UT,0.736,0.827,1.013,,1.895605972,"ROMNEY, Willard Mitt (Mitt)"
41903,"scott, rick",200,FL,1.351,1.228,1.44,,3.647520093,"SCOTT, Richard Lynn (Rick)"
41904,"loeffler, kelly",200,GA,1.579,1.56,1.352,,3.154944867,"LOEFFLER, Kelly"
41905,"kelly, mark",100,AZ,-1.081,-1.08,-0.766,,-2.364001038,"KELLY, Mark Edward"
49300,"feinstein, dianne",100,CA,-0.763,-0.848,-0.706,-0.399,-2.356957797,"FEINSTEIN, Dianne"
49308,"murray, patty",100,WA,-0.916,-1.062,-0.785,-0.625,-2.66196011,"MURRAY, Patty"
49703,"collins, susan m",200,ME,0.695,-0.019,0.471,0.583,1.335450242,"COLLINS, Susan Margaret"
49706,"enzi, michael b",200,WY,0.962,1.109,1.123,0.992,2.814665965,"ENZI, Michael B."
94659,"shelby, richard c",200,AL,0.632,,0.663,0.379,1.879645088,"SHELBY, Richard C."
